license_id,name,category,lat,lng
2948829,PREPPED N PLATED LLC,restaurant_cafe,41.97150,-87.77239
2948846,TACOS LA GUARACHA INC.,restaurant_cafe,41.80062,-87.71046
2951471,RAINBOW MOTEL,other,41.79211,-87.79858
2951504,MAS COLLISION EXPERTS,other,41.89531,-87.73504
2951514,Wolf & Company Chicago,restaurant_cafe,41.91366,-87.68746
2951515,Wolf & Company Chicago,liquor_tavern,41.91366,-87.68746
2951516,Wolf & Company Chicago,liquor_tavern,41.91366,-87.68746
2951517,Wolf & Company Chicago,liquor_tavern,41.91366,-87.68746
2951548,AL SAFA,restaurant_cafe,42.01198,-87.70853
2951601,BELLA NOIR REAL ESTATE & DEVELOPMENT COMPANY,other,41.80936,-87.61096
2951729,KIDDIE COLLEGE BEFORE & AFTER SCHOOL CENTER,other,41.76440,-87.69473
2951735,TROPICAL NUTRITION TWIST,restaurant_cafe,41.95244,-87.81641
2951740,LA MARKEZA RESTAURANT & COFFEE,restaurant_cafe,41.81078,-87.64544
2951765,SOUNDS SOLUTIONS,retail_general,41.80112,-87.70392
2951776,FITZGERALDS & BABYGOLD BARBECUE,other,41.86959,-87.64366
2951803,VOSGES CHOCOLATE,retail_general,41.93541,-87.68568
2951804,VOSGES CHOCOLATE,liquor_tavern,41.93541,-87.68568
2951862,"ABM Industry Groups, LLC",other,41.88320,-87.65076
2951863,"ABM INDUSTRY GROUPS, LLC",other,41.87779,-87.63652
2951864,"ABM Industry Groups, LLC",other,41.89451,-87.63105
2952158,CERDITO MUERTO,liquor_tavern,41.85910,-87.64683
2952296,PURE SERENITY SPA,personal_services,41.91814,-87.65716
2952302,LA PETIT MARCEL,restaurant_cafe,41.93536,-87.64439
2952303,LA PETIT MARCEL,liquor_tavern,41.93536,-87.64439
2952328,The Good Wolf,liquor_tavern,41.98338,-87.66925
2952486,RAVEN INK TATTOO,personal_services,41.93825,-87.78308
2952488,AU LEVAIN,restaurant_cafe,41.95967,-87.68246
2952507,BINO'S AUTOMOTIVE SOLUTIONS LLC,other,41.72308,-87.64815
2956054,CD ONE PRICE CLEANERS,personal_services,41.90920,-87.78991
2956192,Binny's Beverage Depot,liquor_tavern,41.92533,-87.67765
2956340,TS OASIS NAILS,personal_services,41.96161,-87.67559
2956390,Vitalogy on Dearborn,restaurant_cafe,41.87289,-87.62900
2956391,Vitalogy on Dearborn,liquor_tavern,41.87289,-87.62900
2956402,HAPPY BOBAS LLC,restaurant_cafe,41.95257,-87.81119
2956441,KENNY MAC'S,personal_services,41.96255,-87.65549
2956445,"TAQUERIA MI LINDO MARAVATIO , INC.",liquor_tavern,41.77903,-87.70621
2956489,BIBIBOP LLC,restaurant_cafe,41.94148,-87.68837
2956576,ANM FOOD MART,restaurant_cafe,41.79344,-87.67388
2956594,IMAGINE THAT WORLD OF PLAY,gym_fitness,41.69308,-87.70073
